Sequence_ID	GC_Content	A_Content	Start_Codons
'Seq_5.1'	'0.4176'	'0.3294'	'2'
'Seq_10.1'	'0.4152'	'0.3216'	'0'
'Seq_6.2'	'0.4351'	'0.3364'	'25'
'Seq_1.3'	'0.4681'	'0.2657'	'31'
'Seq_1.4'	'0.4688'	'0.2893'	'46'
'Seq_7.2'	'0.4396'	'0.2777'	'13'
'Seq_4.1'	'0.4035'	'0.2865'	'2'
'Seq_6.1'	'0.4379'	'0.2249'	'3'
'Seq_5.2'	'0.4621'	'0.2792'	'18'
'Seq_3.4'	'0.4543'	'0.2882'	'21'
'Seq_2.3'	'0.4312'	'0.3011'	'28'
'Seq_9.4'	'0.4501'	'0.2768'	'22'
'Seq_8.3'	'0.4381'	'0.2913'	'27'
'Seq_9.3'	'0.4589'	'0.2723'	'10'
'Seq_8.4'	'0.437'	'0.2945'	'27'
'Seq_3.3'	'0.4598'	'0.2827'	'14'
'Seq_2.4'	'0.4307'	'0.2992'	'30'
'Seq_4.2'	'0.4262'	'0.2005'	'14'
'Seq_7.1'	'0.4035'	'0.269'	'1'
'Seq_3.1'	'0.4509'	'0.3584'	'3'
'Seq_7.3'	'0.4344'	'0.2847'	'14'
'Seq_6.4'	'0.4408'	'0.3173'	'35'
'Seq_9.1'	'0.4541'	'0.2768'	'6'
'Seq_8.1'	'0.4383'	'0.2796'	'7'
'Seq_7.4'	'0.438'	'0.2913'	'15'
'Seq_6.3'	'0.4378'	'0.3292'	'27'
'Seq_1.2'	'0.4726'	'0.2596'	'30'
'Seq_2.1'	'0.435'	'0.3165'	'10'
'Seq_3.2'	'0.4406'	'0.3333'	'4'
'Seq_4.3'	'0.4317'	'0.2184'	'15'
'Seq_5.4'	'0.4513'	'0.2846'	'28'
'Seq_9.2'	'0.4614'	'0.262'	'8'
'Seq_8.2'	'0.4346'	'0.2968'	'9'
'Seq_4.4'	'0.4296'	'0.2315'	'19'
'Seq_5.3'	'0.4479'	'0.2827'	'25'
'Seq_2.2'	'0.4306'	'0.3139'	'13'
'Seq_1.1'	'0.5147'	'0.3235'	'2'
